user_id,item_id,cat_id,merchant_id,brand_id,month,day,action,age_range,gender,province,score
60991,692663,1075,4251,1119,6,6,0,6,0,山东,4
60991,750486,1075,1157,2514,6,6,0,7,0,山东,6
60991,750486,1075,1157,2514,6,6,0,7,1,重庆市,3
60991,750486,1075,1157,2514,6,6,0,0,0,辽宁,1
60991,1086400,1075,304,2210,6,6,0,5,0,青海,5
60991,374078,1438,1157,2514,6,6,0,2,0,澳门,7
60991,610930,1075,4417,252,6,6,0,6,1,天津市,3
60991,542603,1023,2448,712,6,6,0,0,0,安徽,7
60991,1086400,1075,304,2210,6,6,0,7,0,辽宁,0
60991,750486,1075,1157,2514,6,6,0,6,0,吉林,0
60991,100240,737,1140,2890,11,2,0,5,0,北京市,0
60991,100240,737,1140,2890,11,2,0,5,0,陕西,9
60991,996923,451,1278,7419,11,2,0,1,1,北京市,3
60991,996923,451,1278,7419,11,2,0,5,1,重庆市,4
60991,996923,451,1278,7419,11,2,0,1,0,内蒙古,1
60991,996923,451,1278,7419,11,2,0,7,0,辽宁,0
60991,996923,451,1278,7419,11,2,0,1,0,浙江,0
60991,370144,1188,4187,6762,11,2,0,4,0,重庆市,8
60991,622742,1438,3451,4422,6,19,0,7,1,陕西,1
60991,326153,1438,2949,7408,6,25,0,6,1,上海市,2
60991,267654,1438,3971,2142,6,25,0,2,1,香港,7
60991,1002647,737,4658,5628,6,17,0,6,0,吉林,6
60991,7414,737,4658,7740,6,17,0,0,0,山东,7
60991,567210,737,4658,5616,6,17,0,5,0,安徽,1
60991,1030493,737,406,3616,6,17,0,4,2,天津市,0
60991,1032986,1438,3843,2913,6,25,0,0,1,广西,3
60991,979767,1438,574,6460,6,25,0,1,1,山东,4
60991,1002647,737,4658,5628,6,17,0,2,0,天津市,1
60991,887889,1438,4594,7692,6,25,0,2,0,西藏,7
60991,887889,1438,4594,7692,6,25,0,4,1,四川,8
60991,529932,1438,310,8231,11,11,0,1,0,北京市,6
199463,202112,1090,142,1845,7,12,0,6,2,山西,0
199463,202112,1090,142,1845,7,12,2,0,1,湖北,4
199463,416858,1349,1503,6065,10,3,0,3,0,陕西,1
199463,1010624,883,3938,771,11,11,2,3,0,上海市,3
199463,863422,1438,3556,1236,9,20,0,2,0,辽宁,6
199463,416858,1349,1503,6065,10,26,0,3,0,台湾,2
199463,289416,1349,1267,6065,9,14,0,7,1,重庆市,7
199463,445741,1486,1964,1193,7,11,0,2,0,北京市,3
199463,445741,1486,1964,1193,7,11,0,0,0,辽宁,2
199463,323485,1349,941,1360,6,25,0,4,1,山西,6
199463,1104316,692,1599,1287,7,30,0,3,0,台湾,7
199463,1104316,692,1599,1287,7,30,0,3,1,陕西,3
199463,112682,1467,2946,5559,7,30,0,2,1,宁夏,6
199463,732878,276,441,6943,8,25,0,0,0,贵州,9
199463,878402,276,441,6943,8,25,0,2,1,陕西,9
199463,878402,276,441,6943,8,25,2,1,1,北京市,2
199463,22364,407,2822,4273,8,25,0,2,0,天津市,8
199463,970784,4,2743,4475,6,25,0,7,0,台湾,0
199463,878402,276,441,6943,8,25,0,5,2,山东,5
199463,905514,1349,3834,1360,6,25,0,3,1,陕西,6
199463,499035,699,1599,8221,11,8,0,2,0,陕西,8
199463,1026621,883,4649,7153,11,8,0,0,1,山东,0
199463,388196,252,4205,928,7,1,0,1,0,新疆,6
199463,1104433,737,2081,434,6,2,0,2,0,四川,4
